id,Fairing Diameter,Fairing Height,Liftoff Thrust,Payload to GTO,Payload to LEO,Price,Rocket Height,Stages,Status,Strap-ons,base,company,date,link,status,title_1,title_2
520,4.2 m,13.8 m,"3,826 kN","4,750 kg","9,797 kg",$109.0 million,58.3 m,2,Active,0,"SLC-41, Cape Canaveral SFS, Florida, USA",ULA,2015-12-06 21:44:00+00:00,/launches/details/520,1,Atlas V 401,CRS OA-4
1903,3.0 m,8.36 m,"1,535 kN",0 kg,"2,850 kg",,44.08 m,3,Active,0,"Site 43/4, Plesetsk Cosmodrome, Russia",VKS RF,2015-12-05 14:08:00+00:00,/launches/details/1903,0,Soyuz 2.1v/Volga,Cosmos 2511 and 2512
535,2.6 m,7.88 m,"2,200 kN",,"1,436 kg",$37.0 million,29.9 m,4,Active,0,"ELV-1, Guiana Space Centre, French Guiana, France",Arianespace,2015-12-03 04:04:00+00:00,/launches/details/535,1,Vega,LISA Pathfinder
6141,3.8 m,11.74 m,"2,993 kN","1,500 kg","4,200 kg",$64.68 million,46.97 m,3,Active,0,"LC-9, Taiyuan Satellite Launch Center, China",CASC,2015-11-26 21:24:00+00:00,/launches/details/6141,1,Long March 4C,Yaogan 29
1465,4.07 m,12.0 m,,"6,000 kg","15,000 kg",,,2,Active,4,"LA-Y1, Tanegashima Space Center, Japan",MHI,2015-11-24 06:50:00+00:00,/launches/details/1465,1,H-IIA 204,Telstar 12 Vantage
2589,,,490 kN,0 kg,0 kg,,18.0 m,2,Active,0,"Launch Site One, West Texas, Texas, USA",Blue Origin,2015-11-23 17:21:00+00:00,/launches/details/2589,1,New Shepard,Mission 2
6137,4.2 m,9.56 m,"5,986 kN","5,550 kg","11,500 kg",$29.15 million,56.3 m,3,Active,4,"LC-2, Xichang Satellite Launch Center, China",CASC,2015-11-20 16:07:00+00:00,/launches/details/6137,1,Long March 3B/E,LaoSat-1
6099,4.11 m,11.43 m,"4,550 kN","3,250 kg","7,500 kg",$25.0 million,46.94 m,4,Active,4,"Site 43/4, Plesetsk Cosmodrome, Russia",VKS RF,2015-11-17 06:33:00+00:00,/launches/details/6099,1,Soyuz 2.1b/Fregat-M,Cosmos 2510
760,5.4 m,17.0 m,"15,120 kN","10,500 kg","21,000 kg",$200.0 million,53.0 m,2,Active,2,"ELA-3, Guiana Space Centre, French Guiana, France",Arianespace,2015-11-10 21:34:00+00:00,/launches/details/760,1,Ariane 5 ECA,Arabsat 6B & GSAT-15
6129,3.8 m,11.74 m,"2,993 kN","1,500 kg","4,200 kg",$64.68 million,46.97 m,3,Active,0,"LC-9, Taiyuan Satellite Launch Center, China",CASC,2015-11-08 07:06:00+00:00,/launches/details/6129,1,Long March 4B,Yaogan-28
2831,1.32 m,,134 kN,,250 kg,$15.0 million,18.0 m,3,Active,0,"LP-41, Kauai, Pacific Missile Range Facility",Sandia,2015-11-04 03:45:00+00:00,/launches/details/2831,0,Super Stripy,"HiakaSat, STACEM & Others"
6136,4.2 m,9.56 m,"5,986 kN","5,550 kg","11,500 kg",$29.15 million,56.3 m,3,Active,4,"LC-3, Xichang Satellite Launch Center, China",CASC,2015-11-03 16:25:00+00:00,/launches/details/6136,1,Long March 3B/E,ChinaSat-2C
521,4.2 m,13.8 m,"3,826 kN","4,750 kg","9,797 kg",$109.0 million,58.3 m,2,Active,0,"SLC-41, Cape Canaveral SFS, Florida, USA",ULA,2015-10-31 16:13:00+00:00,/launches/details/521,1,Atlas V 401,GPS IIF-11
6135,3.35 m,7.82 m,"2,962 kN","1,200 kg","3,500 kg",$29.75 million,40.77 m,2,Active,0,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",CASC,2015-10-26 07:10:00+00:00,/launches/details/6135,1,Long March 2D,Tianhui-1C
6413,4.35 m,15.26 m,"10,027 kN","6,900 kg","21,000 kg",$65.0 million,58.18 m,4,Active,0,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",ILS,2015-10-16 20:40:00+00:00,/launches/details/6413,1,Proton-M/Briz-M,Türksat-4B
6134,4.2 m,9.56 m,"5,986 kN","5,550 kg","11,500 kg",$29.15 million,56.3 m,3,Active,4,"LC-2, Xichang Satellite Launch Center, China",CASC,2015-10-16 16:16:00+00:00,/launches/details/6134,1,Long March 3B/E,Apstar 9
